Sample,Time,Soil,Treatment,pH,EC (uS/cm)
RR_T0_1.1,T0,Russell Ranch,Control,7.08,589
RR_T0_1.2,T0,Russell Ranch,Control,6.94,238
RR_T0_1.3,T0,Russell Ranch,Control,7.51,224
RR_T0_2.1,T0,Russell Ranch,Compost,7.23,489
RR_T0_2.2,T0,Russell Ranch,Compost,7.43,304
RR_T0_2.3,T0,Russell Ranch,Compost,7.5,238
RR_T0_3.1,T0,Russell Ranch,Compost-Biochar,7.57,314
RR_T0_3.2,T0,Russell Ranch,Compost-Biochar,7.52,402
RR_T0_3.3,T0,Russell Ranch,Compost-Biochar,7.67,271
RR_end_1.1,end,Russell Ranch,Control,7.85,128
RR_end_1.2,end,Russell Ranch,Control,7.79,125.5
RR_end_1.3,end,Russell Ranch,Control,7.96,118.5
RR_end_1.4,end,Russell Ranch,Control,7.9,135.6
RR_end_1.5,end,Russell Ranch,Control,7.95,110.9
RR_end_1.6,end,Russell Ranch,Control,7.98,117.1
RR_end_1.7,end,Russell Ranch,Control,7.91,150.4
RR_end_2.1,end,Russell Ranch,Compost,7.88,182.1
RR_end_2.2,end,Russell Ranch,Compost,7.92,165.1
RR_end_2.3,end,Russell Ranch,Compost,7.94,176.5
RR_end_2.4,end,Russell Ranch,Compost,7.88,222
RR_end_2.5,end,Russell Ranch,Compost,7.94,173.6
RR_end_2.6,end,Russell Ranch,Compost,7.98,178.1
RR_end_2.7,end,Russell Ranch,Compost,7.92,213
RR_end_3.1,end,Russell Ranch,Compost-Biochar,8.17,167.4
RR_end_3.2,end,Russell Ranch,Compost-Biochar,8.2,168.5
RR_end_3.3,end,Russell Ranch,Compost-Biochar,8.18,159.3
RR_end_3.4,end,Russell Ranch,Compost-Biochar,8.17,147.1
RR_end_3.5,end,Russell Ranch,Compost-Biochar,8.12,181.6
RR_end_3.6,end,Russell Ranch,Compost-Biochar,8.14,170.5
RR_end_3.7,end,Russell Ranch,Compost-Biochar,8.15,286
