setup_date,Date,growth_phase_days,termination_date,soil,treatment,replicate,pot_label,seed_survival,seed_survival_rate,soil_sample_label,plant_location_clockwise_from_label,setup_weight_g,weight_field_capacity_g,target_weight_g,shoot_length_cm,num_spikelets,root_length_cm,shoot_root_biomass_g,,pH,EC
9/19/24,11/21/24,63,11/21/24,Russell Ranch,Control,1,1●,1,0.75,RR_end_1.1,1,358,458,459,19.4,0,15,0.1,,,
9/19/24,11/21/24,63,11/21/24,Russell Ranch,Control,1,1●,1,0.75,RR_end_1.1,2,358,458,460,22.9,2,10.7,0.1,,,
9/19/24,11/21/24,63,11/21/24,Russell Ranch,Control,1,1●,1,0.75,RR_end_1.1,3,358,458,461,28,3,17,0.21,,,
9/19/24,11/21/24,63,11/21/24,Russell Ranch,Control,1,1●,0,0.75,RR_end_1.1,4,358,458,462,N/A,N/A,N/A,N/A,,,
9/19/24,11/21/24,63,11/21/24,Russell Ranch,Control,2,2●,1,0.75,RR_end_1.2,1,357,459,460,13.7,0,9.1,0.06,,,
9/19/24,11/21/24,63,11/21/24,Russell Ranch,Control,2,2●,1,0.75,RR_end_1.2,2,357,459,461,17,0,17.2,0.07,,,
9/19/24,11/21/24,63,11/21/24,Russell Ranch,Control,2,2●,0,0.75,RR_end_1.2,3,357,459,462,N/A,N/A,N/A,N/A,,,
9/19/24,11/21/24,63,11/21/24,Russell Ranch,Control,2,2●,1,0.75,RR_end_1.2,4,357,459,463,24.5,1,12.9,0.12,,,
9/19/24,11/21/24,63,11/21/24,Russell Ranch,Control,3,3●,1,1,RR_end_1.3,1,357,459,460,21.1,0,18.4,0.17,,,
9/19/24,11/21/24,63,11/21/24,Russell Ranch,Control,3,3●,1,1,RR_end_1.3,2,357,459,461,18.6,0,10.8,0.14,,,
9/19/24,11/21/24,63,11/21/24,Russell Ranch,Control,3,3●,1,1,RR_end_1.3,3,357,459,462,20.6,0,9.2,0.17,,,
9/19/24,11/21/24,63,11/21/24,Russell Ranch,Control,3,3●,1,1,RR_end_1.3,4,357,459,463,20.5,0,13.2,0.13,,,
9/19/24,11/21/24,63,11/21/24,Russell Ranch,Control,4,4●,1,1,RR_end_1.4,1,358,451,452,24.1,2,20.3,0.18,,,
9/19/24,11/21/24,63,11/21/24,Russell Ranch,Control,4,4●,1,1,RR_end_1.4,2,358,451,453,13,0,12.2,0.03,,,
9/19/24,11/21/24,63,11/21/24,Russell Ranch,Control,4,4●,1,1,RR_end_1.4,3,358,451,454,23.6,2,19.5,0.28,,,
9/19/24,11/21/24,63,11/21/24,Russell Ranch,Control,4,4●,1,1,RR_end_1.4,4,358,451,455,19.9,0,9.8,0.13,,,
9/19/24,11/21/24,63,11/21/24,Russell Ranch,Control,5,5●,0,0.5,RR_end_1.5,1,359,454,455,N/A,N/A,N/A,N/A,,,
9/19/24,11/21/24,63,11/21/24,Russell Ranch,Control,5,5●,0,0.5,RR_end_1.5,2,359,454,456,N/A,N/A,N/A,N/A,,,
9/19/24,11/21/24,63,11/21/24,Russell Ranch,Control,5,5●,1,0.5,RR_end_1.5,3,359,454,457,25.1,0,8,0.31,,,
9/19/24,11/21/24,63,11/21/24,Russell Ranch,Control,5,5●,1,0.5,RR_end_1.5,4,359,454,458,23.8,0,11.4,0.28,,,
9/19/24,11/21/24,63,11/21/24,Russell Ranch,Control,6,6●,1,1,RR_end_1.6,1,358,453,454,18.2,0,6.7,0.14,,,
9/19/24,11/21/24,63,11/21/24,Russell Ranch,Control,6,6●,1,1,RR_end_1.6,2,358,453,455,23.2,0,8.3,0.27,,,
9/19/24,11/21/24,63,11/21/24,Russell Ranch,Control,6,6●,1,1,RR_end_1.6,3,358,453,456,22.5,0,8.7,0.22,,,
9/19/24,11/21/24,63,11/21/24,Russell Ranch,Control,6,6●,1,1,RR_end_1.6,4,358,453,457,25.3,0,8.2,0.27,,,
9/19/24,11/21/24,63,11/21/24,Russell Ranch,Control,7,7●,0,0.75,RR_end_1.7,1,358,459,460,N/A,N/A,N/A,N/A,,,
9/19/24,11/21/24,63,11/21/24,Russell Ranch,Control,7,7●,1,0.75,RR_end_1.7,2,358,459,461,21.6,0,9.9,0.2,,,
9/19/24,11/21/24,63,11/21/24,Russell Ranch,Control,7,7●,1,0.75,RR_end_1.7,3,358,459,462,15.8,0,7.2,0.06,,,
9/19/24,11/21/24,63,11/21/24,Russell Ranch,Control,7,7●,1,0.75,RR_end_1.7,4,358,459,463,22.2,2,10.2,0.25,,,
9/19/24,11/21/24,63,11/21/24,Russell Ranch,Compost,1,1◾,1,1,RR_end_2.1,1,358,462,463,11.3,0,14.6,0.05,,,
9/19/24,11/21/24,63,11/21/24,Russell Ranch,Compost,1,1◾,1,1,RR_end_2.1,2,358,462,464,15.2,0,18.3,0.14,,,
9/19/24,11/21/24,63,11/21/24,Russell Ranch,Compost,1,1◾,1,1,RR_end_2.1,3,358,462,465,14.7,0,16.1,0.1,,,
9/19/24,11/21/24,63,11/21/24,Russell Ranch,Compost,1,1◾,1,1,RR_end_2.1,4,358,462,466,16.8,0,15.2,0.16,,,
9/19/24,11/21/24,63,11/21/24,Russell Ranch,Compost,2,2◾,1,1,RR_end_2.2,1,358,456,457,13.9,1,11.8,0.06,,,
9/19/24,11/21/24,63,11/21/24,Russell Ranch,Compost,2,2◾,1,1,RR_end_2.2,2,358,456,458,18.6,0,14.9,0.13,,,
9/19/24,11/21/24,63,11/21/24,Russell Ranch,Compost,2,2◾,1,1,RR_end_2.2,3,358,456,459,15.7,0,9.8,0.12,,,
9/19/24,11/21/24,63,11/21/24,Russell Ranch,Compost,2,2◾,1,1,RR_end_2.2,4,358,456,460,19.9,1,13.6,0.12,,,
9/19/24,11/21/24,63,11/21/24,Russell Ranch,Compost,3,3◾,1,1,RR_end_2.3,1,358,461,462,19.5,0,12.9,0.13,,,
9/19/24,11/21/24,63,11/21/24,Russell Ranch,Compost,3,3◾,1,1,RR_end_2.3,2,358,461,463,19.4,0,6.9,0.14,,,
9/19/24,11/21/24,63,11/21/24,Russell Ranch,Compost,3,3◾,1,1,RR_end_2.3,3,358,461,464,17.2,0,11.1,0.11,,,
9/19/24,11/21/24,63,11/21/24,Russell Ranch,Compost,3,3◾,1,1,RR_end_2.3,4,358,461,465,19.8,0,12.9,0.14,,,
9/19/24,11/21/24,63,11/21/24,Russell Ranch,Compost,4,4◾,1,1,RR_end_2.4,1,358,456,457,17,0,13.3,0.12,,,
9/19/24,11/21/24,63,11/21/24,Russell Ranch,Compost,4,4◾,1,1,RR_end_2.4,2,358,456,458,15.8,0,11.8,0.09,,,
9/19/24,11/21/24,63,11/21/24,Russell Ranch,Compost,4,4◾,1,1,RR_end_2.4,3,358,456,459,13.3,0,11.6,0.06,,,
9/19/24,11/21/24,63,11/21/24,Russell Ranch,Compost,4,4◾,1,1,RR_end_2.4,4,358,456,460,16.4,0,14.6,0.12,,,
9/19/24,11/21/24,63,11/21/24,Russell Ranch,Compost,5,5◾,0,0.5,RR_end_2.5,1,359,455,456,N/A,N/A,N/A,N/A,,,
9/19/24,11/21/24,63,11/21/24,Russell Ranch,Compost,5,5◾,1,0.5,RR_end_2.5,2,359,455,457,23.2,0,18.9,0.55,,,
9/19/24,11/21/24,63,11/21/24,Russell Ranch,Compost,5,5◾,0,0.5,RR_end_2.5,3,359,455,458,N/A,N/A,N/A,N/A,,,
9/19/24,11/21/24,63,11/21/24,Russell Ranch,Compost,5,5◾,1,0.5,RR_end_2.5,4,359,455,459,27.4,2,19.5,0.43,,,
9/19/24,11/21/24,63,11/21/24,Russell Ranch,Compost,6,6◾,1,1,RR_end_2.6,1,358,460,461,17.1,0,17.8,0.13,,,
9/19/24,11/21/24,63,11/21/24,Russell Ranch,Compost,6,6◾,1,1,RR_end_2.6,2,358,460,462,20.3,0,17.7,0.21,,,
9/19/24,11/21/24,63,11/21/24,Russell Ranch,Compost,6,6◾,1,1,RR_end_2.6,3,358,460,463,13.8,0,12.1,0.06,,,
